mmsi,imo,vessel_name,year_of_build,flag,dwt,teu_capacity,draft,loa,lbp,breadth_extreme,breadth_moulded,vessel_type
334827000,7616638,Tropic Isle,1977.0,HND,861.0,62.0,3.66,71.6,68.58,14.63,14.53,roll on roll off with container capacity
413371030,8579045,Ji Hai Zhi Ming,2009.0,CHN,4033.0,,4.5,100.0,,16.4,,fully cellular containership
,9499228,Ferdos II,2008.0,UNK,,,6.0,83.0,,,15.0,fully cellular containership
372155000,9552771,Inana 2,2009.0,PAN,5200.0,296.0,5.95,96.5,90.9,15.8,15.8,general cargo with container capacity
412372950,,Ji Hai Zhi Yuan,,CHN,4033.0,,4.6,100.0,,16.0,,general cargo with container capacity
412550840,,Yong Yu 018,,CHN,,,4.0,,,,,general cargo with container capacity
413502580,8567054,Hao Chen 3,,CHN,,,4.2,69.0,,10.0,,general cargo with container capacity
357988000,9567661,Seroja Lima,2011.0,PAN,90388.0,8110.0,14.54,316.0,302.0,,45.6,fully cellular containership
351109000,9567673,OOCL Durban,2011.0,PAN,90079.0,8540.0,14.54,316.0,302.0,,45.6,fully cellular containership
413434490,,Lian He 22,,CHN,,,2.8,25.0,,6.0,,fully cellular containership
305908000,9563744,BBC Ruby,2016.0,ATG,14310.0,987.0,9.1,153.45,145.48,23.2,23.2,general cargo with container capacity
305856000,9563732,BBC Moonstone,2013.0,ATG,14338.0,987.0,9.1,153.45,145.48,23.2,23.2,general cargo with container capacity
305853000,9563720,BBC Coral,2012.0,ATG,14488.0,987.0,9.1,153.47,145.46,23.2,23.2,general cargo with container capacity
305717000,9563706,BBC Amber,2011.0,ATG,14403.0,966.0,9.1,153.44,145.5,23.2,23.2,general cargo with container capacity
525019527,9562051,Kali Mas,2008.0,IDN,8100.0,537.0,5.2,119.9,115.0,,21.8,fully cellular containership
525019417,9562063,Jales Mas,2008.0,IDN,8100.0,537.0,5.2,119.9,115.01,,21.8,fully cellular containership
305825000,9559896,BBC Nyhavn,2012.0,ATG,9737.0,,7.78,132.2,124.56,,15.87,general cargo with container capacity
352476000,9567257,Manizales,2011.0,PAN,7850.0,270.0,7.06,118.79,113.03,,15.3,general cargo with container capacity
246606000,9528495,Nordic Erika,2009.0,NLD,3750.0,146.0,5.31,87.9,84.56,,12.5,general cargo with container capacity
538006248,9554145,Goynuk,2010.0,MHL,4400.0,174.0,6.34,84.95,84.73,,14.55,general cargo with container capacity
255805952,9517238,Rosi,2010.0,PMD,3850.0,188.0,5.42,88.6,84.99,12.5,12.5,general cargo with container capacity
246869000,9517240,Eems Tjonger,2012.0,NLD,3741.0,182.0,5.42,88.6,84.99,12.69,12.5,general cargo with container capacity
305612000,9536521,Heinz G,2011.0,ATG,3812.0,188.0,5.41,88.6,84.99,,12.5,general cargo with container capacity
210172000,9518218,MIA Maria,2012.0,CYP,3748.0,262.0,5.42,88.6,84.99,,12.5,general cargo with container capacity
246802000,9528524,Eems River,2012.0,NLD,4066.0,146.0,5.3,89.92,84.56,,12.5,general cargo with container capacity
355463000,7605861,Cheka 1,1977.0,PAN,2432.0,150.0,5.03,81.35,74.17,13.42,13.4,general cargo with container capacity
636092784,9569970,Tucapel,2011.0,LBR,98902.0,8004.0,13.5,299.92,285.0,,45.6,fully cellular containership
,7420144,Alkhansaa,1977.0,IRQ,3549.0,108.0,6.1,81.0,75.01,13.64,13.64,general cargo with container capacity
,7500712,Santa Rita,1977.0,MEX,2700.0,130.0,5.25,109.77,98.82,17.5,17.5,roll on roll off with container capacity
413464350,,Jian Gong 178,,CHN,,,,80.0,,14.0,,general cargo with container capacity
548957800,9566681,Dona Dariana Brielle,2010.0,PHL,7734.0,618.0,6.45,117.0,110.0,20.0,19.7,general cargo with container capacity
305842000,9566796,Anna,2011.0,ATG,7712.0,306.0,6.5,125.79,119.53,,14.4,general cargo with container capacity
,7500865,Jin Xiang,1977.0,CHN,4223.0,117.0,6.19,94.0,87.03,14.61,14.61,general cargo with container capacity
,7310210,Royal Progress,1973.0,PHL,1800.0,28.0,4.16,74.0,69.37,12.63,12.63,roll on roll off with container capacity
246771000,9571545,Muntgracht,2012.0,NLD,11736.0,691.0,8.4,142.1,132.74,,18.9,general cargo with container capacity
,,NT 12000,2009.0,CAN,15664.0,,,123.0,123.0,,32.0,barge container carrier
366841000,7530810,Cape Ray,1977.0,USA,23197.0,1315.0,10.03,197.5,180.0,32.3,32.2,roll on roll off with container capacity
304413000,9570620,Levi,2010.0,ATG,7933.0,,7.89,130.24,123.9,,16.49,general cargo with container capacity
305775000,9570670,BBC Livorno,2012.0,ATG,7934.0,511.0,7.0,130.22,122.0,,16.5,general cargo with container capacity
304991000,9570656,Jesper,2011.0,ATG,7930.0,,7.0,130.17,121.98,,16.51,general cargo with container capacity
470552000,9573505,Al Bazm II,2011.0,ARE,13944.0,1998.0,8.9,149.46,139.0,25.0,22.7,fully cellular containership
470143000,9574016,Al Sadr I,2011.0,ARE,13944.0,1124.0,8.9,149.46,139.0,25.0,22.7,fully cellular containership
,7500853,Bintang Jasa 21,1976.0,IDN,4223.0,118.0,6.19,92.31,87.03,14.61,14.61,general cargo with container capacity
,7605873,Rania,1977.0,UNK,3403.0,174.0,5.98,81.36,75.16,13.42,13.4,general cargo with container capacity
,,Ever Omega,2009.0,UNK,3973.0,,3.75,75.12,73.15,,20.73,barge container carrier
412467130,,Hui Gang Tong 333,,CHN,,,3.0,50.0,,13.0,,general cargo with container capacity
412703530,,Xin Long Yun 28,,CHN,,,,,,,,general cargo with container capacity
636018553,9565338,GSL Rossi,2012.0,LBR,47420.0,3405.0,12.7,228.2,210.9,32.32,32.2,fully cellular containership
538090658,9565340,AS Nora,2014.0,MHL,45986.0,3405.0,12.5,228.2,210.9,32.32,32.2,fully cellular containership
305682000,9571375,BBC Nile,2011.0,ATG,16992.0,958.0,9.7,143.13,133.0,,22.8,general cargo with container capacity
314779000,9571387,Marcellin A Desgagnes,2012.0,BRB,16953.0,981.0,9.7,143.13,133.0,,22.8,general cargo with container capacity
338410000,9571399,Allied Brooklyn,2012.0,USA,16949.0,981.0,9.7,143.13,133.0,,22.8,general cargo with container capacity
,7601061,Yamburg,1977.0,GEO,2793.0,91.0,5.31,81.69,76.12,11.8,11.8,general cargo with container capacity
,7612280,Paris,1977.0,UNK,3507.0,144.0,4.96,81.62,75.24,12.83,12.83,general cargo with container capacity
412469510,7502978,Zhong Hai Tong 8,1977.0,CHN,8983.0,274.0,8.05,132.0,122.4,18.0,18.0,general cargo with container capacity
,7519957,Hua Dan 188,1977.0,PAN,6060.0,137.0,5.97,80.0,74.88,16.13,16.13,general cargo with container capacity
412436450,7632369,Yi Hai 723,1977.0,CHN,16476.0,150.0,9.39,143.0,135.0,21.9,21.9,general cargo with container capacity
525013005,7622118,Permai 3,1977.0,IDN,8710.0,392.0,7.01,132.11,122.0,20.05,20.05,fully cellular containership
413695090,,Liang Xiang 7,,CHN,,,,183.0,,27.0,,general cargo with container capacity
403015000,7413543,Al Gaswaa,1977.0,SAU,5186.0,265.0,5.55,123.0,113.7,19.56,19.2,roll on roll off with container capacity
366778000,7603497,Cape Taylor,1977.0,USA,14545.0,1127.0,9.12,193.21,178.0,27.1,27.0,roll on roll off with container capacity
303829046,9578969,Cape Starr,2012.0,USA,46634.0,2238.0,10.5,240.0,220.0,37.5,37.5,roll on roll off with container capacity
303829026,9578983,Cape Sable,2013.0,USA,46704.0,2238.0,10.5,239.0,220.0,37.5,37.5,roll on roll off with container capacity
366599000,9578957,Liberty Power,2011.0,USA,46635.0,2238.0,10.5,240.0,220.0,37.5,37.5,roll on roll off with container capacity
303829025,9578971,Cape San Juan,2012.0,USA,46574.0,2238.0,10.5,240.0,220.0,37.5,37.5,roll on roll off with container capacity
273177100,7642572,Lida Demesh,1977.0,RUS,2180.0,57.0,5.2,88.75,80.35,12.82,12.8,general cargo with container capacity
413695250,,HONG TAI 26,,CHN,,,3.9,140.0,,20.0,,general cargo with container capacity
413464810,8576134,Fu Xing Da 2,,CHN,,,3.5,58.0,,13.0,,general cargo with container capacity
677093000,7626748,Doris T.,1977.0,TZA,2150.0,104.0,4.78,79.0,73.0,12.4,12.4,general cargo with container capacity
,6922145,Marais,1969.0,MLT,1300.0,76.0,3.99,78.01,72.12,,13.03,general cargo with container capacity
701016000,7406538,Corrientes II,1977.0,ARG,20717.0,314.0,9.76,159.0,148.0,22.84,22.8,general cargo with container capacity
,7510717,Chang Bai Shan,1978.0,UNK,12831.0,115.0,9.4,158.0,148.01,21.85,21.85,general cargo with container capacity
,7605732,Hong Prosper,1977.0,BLZ,3025.0,105.0,5.1,79.0,75.01,13.26,13.26,general cargo with container capacity
613481700,7613404,Barbat,1977.0,CMR,4322.0,341.0,5.23,141.31,129.5,17.4,17.4,roll on roll off with container capacity
413464850,,Huan Bao 189,,CHN,,,4.5,,,,,general cargo with container capacity
677040300,7602314,Farah 1,1977.0,TZA,2621.0,45.0,5.18,73.57,72.62,13.01,13.0,general cargo with container capacity
,7403940,Hai Shiou Shan,1976.0,PAN,1930.0,91.0,4.54,77.0,69.02,11.76,11.76,general cargo with container capacity
,7707695,Ammana Gappa,1977.0,IDN,4084.0,115.0,2.23,91.0,83.45,14.22,14.22,general cargo with container capacity
636093066,9578347,Cabinda Express,2010.0,LBR,7738.0,616.0,6.45,117.0,110.0,,19.74,general cargo with container capacity
209656000,9578359,Onego Buran,2010.0,CYP,7661.0,618.0,6.45,117.0,110.0,,19.74,general cargo with container capacity
273357250,9584449,Kapitan Shumilov,2012.0,RUS,5458.0,140.0,3.53,139.99,138.9,,16.8,general cargo with container capacity
273356340,9584413,Kapitan Afanasyev,2011.0,RUS,5458.0,140.0,3.53,139.99,135.75,,16.8,general cargo with container capacity
273350230,9584396,Kapitan Sergeev,2011.0,RUS,5458.0,140.0,3.53,139.99,138.9,,16.8,general cargo with container capacity
273359620,9584360,Kapitan Zagryadtsev,2011.0,RUS,5458.0,140.0,3.53,139.99,,17.0,16.8,general cargo with container capacity
273350720,9584372,Kapitan Krasnov,2011.0,RUS,5458.0,140.0,3.53,139.99,,,16.8,general cargo with container capacity
273356440,9584425,Kapitan Jurov,2011.0,RUS,5458.0,140.0,3.53,139.99,135.75,,16.8,general cargo with container capacity
273356250,9584437,Kapitan Kanatov,2012.0,RUS,5458.0,140.0,3.53,139.99,135.75,,16.8,general cargo with container capacity
273354140,9584401,Kapitan Kadomtsev,2011.0,RUS,5458.0,140.0,3.53,139.99,138.9,,16.8,general cargo with container capacity
273351620,9584358,Kapitan Ruzmankin,2011.0,RUS,5458.0,140.0,3.53,139.99,135.75,17.0,16.8,general cargo with container capacity
273359130,9584384,Kapitan Gudovich,2011.0,RUS,5458.0,140.0,3.53,139.99,,18.0,16.8,general cargo with container capacity
244650923,,Camaro IV,,NLD,,,3.0,135.0,,11.0,,general cargo with container capacity
305741000,9492505,Bernhard Schepers,2011.0,ATG,10600.0,1036.0,8.0,151.72,142.37,,23.4,fully cellular containership
255806484,9584475,Samskip Toubkal,2012.0,PMD,13147.0,1036.0,8.0,151.74,142.42,,23.4,fully cellular containership
255806505,9584487,Helena,2012.0,PMD,10600.0,1036.0,8.0,151.74,142.37,23.4,23.4,fully cellular containership
255806525,9584865,Katharina,2012.0,PMD,10600.0,1036.0,8.0,151.72,142.37,23.4,23.4,fully cellular containership
412442220,7412965,Haixun04302,1977.0,CHN,23830.0,252.0,10.4,175.0,167.65,23.98,23.98,general cargo with container capacity
413464760,,HAO DA 222,,CHN,,,4.5,88.0,,17.0,,general cargo with container capacity
671828000,7615036,Leader,1977.0,TGO,2419.0,127.0,5.5,71.97,66.02,12.81,12.8,general cargo with container capacity
677083600,7529861,Nader,1977.0,TZA,1647.0,66.0,4.45,91.0,82.4,14.0,14.0,roll on roll off with container capacity
412377030,,Fan Ya Yang Shan,2009.0,CHN,,,3.3,108.0,,17.0,,general cargo with container capacity
245806000,9559092,Fuldaborg,2012.0,NLD,14592.0,475.0,8.3,142.8,136.33,17.2,17.2,general cargo with container capacity
314797000,9581710,Pretty Aya,2012.0,BRB,8397.0,502.0,6.5,132.0,123.0,,18.6,general cargo with container capacity
413464620,,Hui Gang Tong 339,,CHN,,,1.9,50.0,,15.0,,general cargo with container capacity
413464990,,Hui Jin Qiao 91,,CHN,,,0.2,49.0,,,15.0,general cargo with container capacity
525016070,7531589,Mutiara Jawa No.1,1983.0,IDN,8136.0,146.0,4.01,127.36,108.0,,27.5,general cargo with container capacity
412413040,7519701,Ming Zhou 16,1977.0,CHN,15820.0,268.0,9.24,149.0,139.81,21.04,21.04,general cargo with container capacity
413465090,,Hui Hai Long 86,,CHN,,,,50.0,,15.0,,general cargo with container capacity
413422790,7525413,Hai Chang 8,1978.0,CHN,15958.0,160.0,8.96,144.0,134.0,21.4,21.4,general cargo with container capacity
413465130,,Hui Wan 306,2010.0,CHN,,,3.6,50.0,,16.0,,general cargo with container capacity
629009146,7356501,Ethan,1975.0,GMB,7405.0,142.0,7.39,108.0,103.41,14.94,14.94,general cargo with container capacity
,6925707,Princess Carol,1969.0,JAM,1184.0,50.0,4.15,96.81,88.02,15.83,15.83,roll on roll off with container capacity
413357670,,Zhong Kai 19,,CHN,,,3.5,83.0,,16.0,,general cargo with container capacity
,7624984,New Hope,1978.0,UNK,11642.0,160.0,8.96,144.0,134.0,21.4,21.4,general cargo with container capacity
441230000,9571313,HMM Mombasa,2011.0,KOR,41535.0,2758.0,12.5,212.51,195.19,32.24,32.2,fully cellular containership
636021830,9571325,Cul Jakarta,2012.0,LBR,41463.0,2758.0,12.5,211.56,195.23,32.2,32.2,fully cellular containership
710004636,9571296,Log- In Endurance,2011.0,BRA,41411.0,2758.0,12.5,212.54,195.2,32.2,32.2,fully cellular containership
210601000,9571301,MSC New Jersey III,2011.0,CYP,41636.0,2758.0,12.5,212.51,195.19,32.2,32.18,fully cellular containership
413554980,7604295,Qing Hua Hai 2,1977.0,CHN,8050.0,216.0,7.71,121.83,114.17,17.63,17.63,general cargo with container capacity
412473350,,Hui Jin Qiao 11,,CHN,,,2.5,75.0,,15.0,,general cargo with container capacity
368952000,7602247,Cape Texas,1977.0,USA,14826.0,340.0,8.58,193.32,178.0,27.1,27.0,roll on roll off with container capacity
671700000,7405089,Princess Hiyam,1975.0,TGO,3148.0,72.0,5.55,79.53,72.0,13.5,13.5,general cargo with container capacity
616115000,7405077,Sentinel,1975.0,COM,3117.0,72.0,5.54,79.51,72.01,13.62,13.62,general cargo with container capacity
355680000,9574365,Cena Faith,2010.0,PAN,9071.0,630.0,7.2,122.2,116.0,20.0,19.8,general cargo with container capacity
,7707712,Fortuna,1977.0,SLE,3543.0,149.0,5.93,84.36,75.18,13.74,13.5,general cargo with container capacity
412469950,,Ming Hang 98,,CHN,,,3.5,49.0,,15.0,,general cargo with container capacity
413465120,,Hui Wan 302,,CHN,,,3.6,50.0,,16.0,,general cargo with container capacity
,7413282,Wu Jiang,1977.0,CHN,15200.0,100.0,,143.0,134.1,19.87,19.87,general cargo with container capacity
525014012,7624300,Jakarta Fortune,1977.0,IDN,4640.0,232.0,5.99,98.0,91.17,16.0,16.0,general cargo with container capacity
412469660,,Zheng Hua 018,,CHN,,,2.8,50.0,,15.0,,general cargo with container capacity
413694570,,Zhong Hong 8,2009.0,CHN,,,6.1,115.0,,16.0,,general cargo with container capacity
,7633430,Ocean Concord,1977.0,UNK,3300.0,219.0,5.32,82.0,76.84,15.65,15.65,roll on roll off with container capacity
412763360,,Lian He 50,2009.0,CHN,,,,80.0,,16.0,,general cargo with container capacity
412703630,,Tian Xiang 63,,CHN,,,4.8,140.0,,20.0,,general cargo with container capacity
355760000,9574377,Draco Faith,2010.0,PAN,9023.0,630.0,7.2,122.2,116.0,,19.8,general cargo with container capacity
413503840,,Xin Hong Xiang 98,,CHN,,,4.5,124.0,,18.0,,general cargo with container capacity
366842000,7616377,Cape Race,1977.0,USA,22830.0,1315.0,10.03,197.52,180.02,32.3,32.21,roll on roll off with container capacity
314663000,9576703,Memnune K,2010.0,BRB,4488.0,138.0,5.81,89.99,84.43,,14.01,general cargo with container capacity
413357990,,Heng Long 69,,CHN,,,4.0,92.0,,16.0,,general cargo with container capacity
244918000,9624550,Oceanic,2012.0,NLD,3000.0,236.0,4.9,92.2,84.99,14.75,14.0,general cargo with container capacity
304030000,9582855,Niklas,2010.0,ATG,3657.0,176.0,5.5,87.83,81.24,,12.8,general cargo with container capacity
,7711115,Taru III,1977.0,COL,746.0,48.0,3.6,62.0,,11.3,,general cargo with container capacity
412553540,,Jia Xing 18,2017.0,CHN,,,4.2,99.0,,16.0,,general cargo with container capacity
,7622819,Power Star,1977.0,UNK,8005.0,182.0,7.24,118.0,110.04,18.04,18.04,general cargo with container capacity
316278000,7603502,Oceanex Sanderling,1977.0,CAN,15195.0,1127.0,9.1,193.44,178.0,27.0,27.0,roll on roll off with container capacity
,7432850,Alexander,1977.0,UNK,3200.0,112.0,5.38,81.0,75.01,13.5,13.5,general cargo with container capacity
,7432848,Beton Leader,1977.0,BLZ,3200.0,112.0,5.38,81.35,75.2,13.5,13.5,general cargo with container capacity
525014004,7619317,Bumi Jaya,1977.0,IDN,10300.0,486.0,8.0,129.0,122.03,21.01,21.01,general cargo with container capacity
412354590,7633404,Chang Shun Da 18,1977.0,CHN,1964.0,127.0,4.45,71.99,65.51,12.81,12.81,general cargo with container capacity
701006124,7530822,Melisa,1977.0,ARG,2772.0,104.0,5.42,79.0,,12.4,12.4,general cargo with container capacity
525019149,7703261,Lintas Segara,1977.0,IDN,2030.0,132.0,4.46,72.0,65.5,12.81,12.8,general cargo with container capacity
,7607247,Bintang Jasa 23,1977.0,IDN,2555.0,106.0,3.47,67.0,63.0,15.02,15.02,general cargo with container capacity
249797000,9593517,Safeen Prestige,2013.0,MLT,23425.0,1740.0,10.9,175.43,165.0,,27.41,fully cellular containership
,9593529,Donghaido,2015.0,UNK,4000.0,1740.0,10.91,175.47,165.0,,27.4,general cargo with container capacity
341072000,7500736,Monarch Countess,1977.0,KNA,2700.0,135.0,5.21,109.77,98.82,17.5,17.5,roll on roll off with container capacity
548300300,7633442,Capt. John B. Lacson,1977.0,PHL,1956.0,136.0,4.45,72.05,65.5,12.81,12.8,general cargo with container capacity
244700130,2293962,Olesia,2003.0,NLD,,537.0,,182.0,,14.0,,barge container carrier
412473790,,Fang Zhou 7,,CHN,,,,,,,,general cargo with container capacity
258014000,9593878,Star Lindesnes,2013.0,NIS,50748.0,,12.64,204.4,194.01,32.3,32.26,general cargo with container capacity
257842000,9593854,Star Laguna,2012.0,NIS,50827.0,,12.64,204.4,194.03,32.31,32.26,general cargo with container capacity
257844000,9593866,Star Lima,2012.0,NIS,50761.0,,12.64,204.4,194.04,32.31,32.26,general cargo with container capacity
258011000,9593892,Star Lofoten,2013.0,NIS,50728.0,,12.64,204.36,194.02,32.31,32.26,general cargo with container capacity
258009000,9593907,Star Livorno,2013.0,NIS,50700.0,,12.64,204.36,194.03,32.32,32.26,general cargo with container capacity
538006859,9593880,Star Louisiana,2013.0,MHL,50720.0,,12.64,204.34,193.99,32.31,32.2,general cargo with container capacity
235089913,9594303,UAL Harrier,2012.0,IOM,8690.0,378.0,8.0,109.98,105.9,,17.4,general cargo with container capacity
255802350,9594315,UAL Osprey,2012.0,PRT,8690.0,378.0,8.0,109.95,105.9,,17.4,general cargo with container capacity
304367000,9594286,Martina,2012.0,ATG,8690.0,378.0,7.0,109.95,105.9,,17.4,general cargo with container capacity
235093619,9595462,Ever Leading,2012.0,GBR,104409.0,9226.0,14.19,334.8,319.0,45.79,45.79,fully cellular containership
416481000,9595527,Ever Liven,2013.0,TWN,104409.0,9226.0,14.22,334.8,319.0,46.0,45.8,fully cellular containership
416475000,9595486,Ever Libra,2012.0,TWN,104472.0,9226.0,14.2,334.8,319.0,46.0,45.8,fully cellular containership
235093569,9595436,Ever Lambent,2012.0,GBR,104409.0,8452.0,14.5,334.8,319.0,45.79,45.79,fully cellular containership
235093618,9595450,Ever Lasting,2012.0,GBR,104399.0,9226.0,14.19,334.8,319.0,45.79,45.79,fully cellular containership
373721000,9595448,Ever Laden,2012.0,PAN,103668.0,9466.0,14.23,334.98,319.0,45.79,45.79,fully cellular containership
566794000,9595503,Ever Leader,2013.0,SGP,103667.0,8000.0,13.5,334.98,317.0,,45.8,fully cellular containership
566853000,9595515,Ever Legacy,2013.0,SGP,103667.0,8000.0,13.5,334.98,317.0,,45.8,fully cellular containership
566673000,9595474,Ever Laurel,2012.0,SGP,103667.0,8000.0,13.5,334.98,317.0,46.0,45.8,fully cellular containership
566732000,9595498,Ever Lawful,2012.0,SGP,103667.0,8200.0,13.5,334.98,317.0,,45.8,fully cellular containership
305639000,9582867,Helen Anna,1998.0,ATG,3650.0,176.0,5.5,87.84,81.25,,12.8,general cargo with container capacity
566118000,9593696,Kota Nipah,2011.0,SGP,25944.0,2088.0,10.7,179.75,167.0,27.63,27.59,fully cellular containership
305625000,9593658,BBC Norway,2012.0,ATG,24976.0,1557.0,13.5,161.37,151.98,,27.4,general cargo with container capacity
255916025,9593672,Maria Jose,2011.0,PRT,24964.0,1557.0,13.5,175.0,165.0,27.0,26.0,general cargo with container capacity
305623000,9593684,BBC Finland,2012.0,ATG,24983.0,1497.0,9.8,161.0,152.0,,27.4,general cargo with container capacity
305630000,9593660,BBC Elisabeth,2013.0,ATG,24983.0,1557.0,9.8,161.37,151.98,27.0,26.0,general cargo with container capacity
416016000,9596349,Wan Hai 103,2012.0,TWN,11500.0,1000.0,7.3,144.1,136.1,22.5,22.5,fully cellular containership
566797000,9597472,APL Vancouver,2013.0,SGP,117207.0,9200.0,13.0,328.2,311.9,,45.2,fully cellular containership
566879000,9597484,APL New York,2013.0,SGP,117207.0,9200.0,13.0,328.2,311.9,45.2,45.2,fully cellular containership
566950000,9597496,APL Boston,2013.0,SGP,117252.0,9200.0,13.0,328.2,311.9,,45.2,fully cellular containership
338485000,9597501,CMA CGM Phoenix,2013.0,USA,117222.0,9200.0,13.0,328.2,311.9,,45.2,fully cellular containership
566760000,9596789,Wan Hai 105,2012.0,SGP,11500.0,1040.0,7.3,144.1,136.1,22.5,22.5,fully cellular containership
,9596301,Songa Dolphin,2013.0,LBR,23709.0,1740.0,10.9,176.91,166.41,27.4,27.4,fully cellular containership
229819000,9596313,CMA CGM Fuzhou,2014.0,MLT,23560.0,1740.0,10.9,176.88,166.41,27.68,27.4,fully cellular containership
441670000,9595797,Sky Hope,2012.0,KOR,11884.0,1060.0,8.22,146.0,139.37,,22.7,fully cellular containership
373126000,9595802,Sky Flower,2012.0,PAN,11891.0,1060.0,8.22,146.0,137.48,,22.7,fully cellular containership
566952000,9597513,APL Savannah,2013.0,SGP,117207.0,9200.0,13.0,328.2,311.9,,45.2,fully cellular containership
566953000,9597525,APL Columbus,2014.0,SGP,117207.0,9200.0,13.0,328.2,311.9,,45.2,fully cellular containership
566956000,9597537,APL Houston,2014.0,SGP,117243.0,9200.0,13.0,328.2,311.9,,45.2,fully cellular containership
566957000,9597549,APL Miami,2014.0,SGP,117207.0,9200.0,13.0,328.2,311.9,,45.2,fully cellular containership
566958000,9597551,APL Charleston,2013.0,SGP,117207.0,9200.0,13.0,328.2,311.9,,45.2,fully cellular containership
566959000,9597563,APL Santiago,2014.0,SGP,117224.0,9200.0,13.0,328.2,311.9,,45.2,fully cellular containership
566704000,9601302,APL Paris,2012.0,SGP,135432.0,10700.0,15.5,347.4,331.0,45.21,45.2,fully cellular containership
566705000,9601314,APL Dublin,2012.0,SGP,135539.0,10700.0,15.5,347.29,330.99,45.2,45.2,fully cellular containership
,7525384,Zi Jin Shan,1978.0,CHN,15751.0,160.0,8.96,144.0,134.0,21.4,21.4,general cargo with container capacity
413465530,,Fu Xing Da 9,,CHN,,,4.3,70.0,,15.0,,general cargo with container capacity
413554810,9600542,Jia Xing 68,2012.0,CHN,3200.0,200.0,4.8,108.0,,,17.0,fully cellular containership
413360210,9600554,Zhong Wai Yun Chang Jiang 002,2012.0,CHN,4690.0,200.0,4.8,108.0,,,17.0,fully cellular containership
413360220,9600566,Zhong Wai Yun Chang Jiang 003,2012.0,CHN,4705.0,200.0,7.0,108.0,102.5,,18.0,fully cellular containership
258008000,9603790,Star Loen,2013.0,NIS,50792.0,,12.66,204.38,194.04,32.31,32.26,general cargo with container capacity
244690926,,Excelsior,2007.0,NLD,,421.0,,135.0,,15.0,,general cargo with container capacity
412703760,,HONG DA XIN 8,2007.0,CHN,,,6.5,112.0,,16.0,,general cargo with container capacity
,7633478,Sandy,1977.0,UNK,2060.0,132.0,4.45,71.77,65.51,12.81,12.8,general cargo with container capacity
667005109,7514311,Omniyah,1977.0,SLE,4757.0,122.0,6.53,86.26,85.7,13.75,13.75,general cargo with container capacity
354883000,6924882,Antigone Z.,1969.0,PAN,1128.0,27.0,3.62,78.64,72.01,12.53,12.5,general cargo with container capacity
413465410,,Hui Jin Qiao 181,,CHN,,,5.0,68.0,,17.0,,general cargo with container capacity
412473830,,Zhen Yuan 7,,CHN,,,,68.0,,16.0,,general cargo with container capacity
356390000,7706342,Marine Shine,1978.0,PAN,8036.0,234.0,7.2,118.0,110.01,18.0,18.0,general cargo with container capacity
677049900,7702114,Kuwari1,1977.0,TZA,2240.0,128.0,4.87,80.4,73.07,12.81,12.81,general cargo with container capacity
413465520,,Fu Xing Da 8,,CHN,,,4.5,78.0,,14.0,,general cargo with container capacity
538005224,9603611,Safeen Prism,2013.0,MHL,34171.0,2546.0,11.6,208.89,196.9,29.85,29.79,fully cellular containership
538005057,9603594,Safeen Prize,2013.0,MHL,34145.0,2546.0,11.6,208.9,196.89,30.0,29.8,fully cellular containership
538005112,9603609,Safeen Prosper,2013.0,MHL,34123.0,2546.0,11.6,208.93,196.9,29.85,29.79,fully cellular containership
710000596,9602875,Sebastiao Caboto,2013.0,BRA,52065.0,3800.0,12.5,227.97,217.39,37.3,32.29,fully cellular containership
710000675,9603221,Fernao de Magalhaes,2013.0,BRA,53039.0,3800.0,12.5,227.97,217.39,37.0,32.2,fully cellular containership
710000646,9603219,Pedro Alvares Cabral,2013.0,BRA,53039.0,3800.0,12.5,227.97,217.39,,37.3,fully cellular containership
710074011,9603233,Americo Vespucio,2013.0,BRA,53039.0,3800.0,12.5,227.97,217.39,37.29,37.29,fully cellular containership
630001229,7633387,Med Sea,1977.0,GNB,4418.0,348.0,6.38,98.7,91.05,16.0,16.0,general cargo with container capacity
416482000,9604081,Ever Logic,2013.0,TWN,103668.0,9466.0,14.23,334.98,319.0,45.79,45.79,fully cellular containership
566949000,9604093,Ever Legend,2013.0,SGP,103667.0,8000.0,13.5,334.98,317.0,,45.8,fully cellular containership
235098885,9604108,Ever Learned,2013.0,GBR,104409.0,9226.0,14.22,334.8,319.0,45.79,45.79,fully cellular containership
563982000,9604134,Ever Lively,2014.0,SGP,103667.0,8000.0,13.5,334.98,317.0,,45.8,fully cellular containership
416495000,9604158,Ever Loyal,2014.0,TWN,103668.0,9466.0,14.23,334.98,319.0,,45.8,fully cellular containership
352135000,9604122,Ever Lotus,2013.0,PAN,103668.0,9466.0,14.23,334.98,317.0,,45.8,fully cellular containership
356407000,9604172,Ever Lucky,2014.0,PAN,103668.0,9466.0,14.23,334.98,319.0,,45.8,fully cellular containership
235102678,9604160,Ever Liberal,2014.0,GBR,104409.0,9226.0,14.2,334.8,319.0,,45.8,fully cellular containership
235102677,9604146,Ever Lenient,2014.0,GBR,103668.0,9226.0,14.2,334.8,319.0,45.79,45.78,fully cellular containership
566970000,9604110,Ever Legion,2013.0,SGP,103667.0,8000.0,13.5,334.98,317.0,,45.8,fully cellular containership
725002613,7528520,Fusion,1977.0,CHL,3031.0,219.0,5.47,84.0,76.65,16.0,15.65,roll on roll off with container capacity
